Frequency,Magnitude
0.0,65045.207959144354
0.023255813953488372,1588.99015876164
0.046511627906976744,2688.8690606589867
0.06976744186046512,2963.567164778572
0.09302325581395349,1961.7843166174953
0.11627906976744186,1743.1700112803699
0.13953488372093023,1939.2962062817599
0.16279069767441862,754.4545377566092
0.18604651162790697,348.06467774515966
0.20930232558139533,996.7762587538331
0.23255813953488372,779.5338968480879
0.2558139534883721,1913.375288267713
0.27906976744186046,775.4835255341668
0.3023255813953488,2447.98902745082
0.32558139534883723,615.6335582447675
0.3488372093023256,2117.7467675325943
0.37209302325581395,1080.2150379395991
0.3953488372093023,814.6655893282256
0.41860465116279066,967.6290256381805
0.4418604651162791,145.04917601092862
0.46511627906976744,1847.5494234770827
0.4883720930232558,782.1632708896584
