Date,precipitation,Wavelet_Coefficients,Anomalies
1975-12-31,1444.6,4296.405923510203,False
1976-12-31,1366.7828483330122,4474.794653063329,False
1977-12-31,2249.3,4618.369800606514,False
1978-12-31,1969.5,4810.093476057031,False
1979-12-31,1779.3,4880.561133460051,False
1980-12-31,1893.24,5030.980571232929,False
1981-12-31,1558.9,5099.16380364681,False
1982-12-31,1635.0,5194.899092706707,False
1983-12-31,1435.4,5261.921407108609,False
1984-12-31,1111.43,5348.47745942008,False
1985-12-31,1159.12,5400.1997557273,False
1986-12-31,1570.7,5492.95452243432,False
1987-12-31,1190.4,5546.7615210078175,False
1988-12-31,1341.61,5587.249759135142,False
1989-12-31,1333.8,5643.919561067068,True
1990-12-31,1497.55,5677.3927875352065,True
1991-12-31,1499.36,5719.014329260682,True
1992-12-31,1302.5,5733.882424433647,True
1993-12-31,1571.7,5761.551483411315,True
1994-12-31,1808.88,5795.355637793276,True
1995-12-31,1274.6,5811.041642405494,True
1996-12-31,1490.1,5789.921541666581,True
1997-12-31,1928.4,5830.477609462105,True
1998-12-31,1503.7,5806.210624514687,True
1999-12-31,1579.7,5776.903805390358,True
2000-12-31,1645.7,5768.207971388939,True
2001-12-31,1498.7,5731.091768900343,True
2002-12-31,1109.36,5698.953803496647,True
2003-12-31,1294.1242724995182,5660.6618899764635,True
2004-12-31,1198.1,5624.232254663408,False
2005-12-31,1486.9,5550.641672182302,False
2006-12-31,1639.5,5514.3841387457405,False
2007-12-31,1546.741424166506,5431.263200703442,False
2008-12-31,1624.2899691655423,5382.977322321924,False
2009-12-31,1234.0,5281.134747862968,False
2010-12-31,1630.8,5204.120246031556,False
2011-12-31,1533.2,5126.34503470758,False
2012-12-31,1489.4,5007.235338422548,False
2013-12-31,1689.5656966660242,4909.901722430934,False
2014-12-31,1732.5268741568702,4797.080830554888,False
2015-12-31,1202.6,4655.423566761147,False
2016-12-31,1588.1268741568704,4493.049941161167,False
2017-12-31,1406.0,4391.788570671915,False
