Date,precipitation,Wavelet_Coefficients,Anomalies
1975-12-31,1444.6,2699.3168740434003,False
1976-12-31,1366.7828483330122,2724.755923310343,False
1977-12-31,2249.3,2732.885921362492,False
1978-12-31,1969.5,2774.8410543738796,False
1979-12-31,1779.3,2750.959736066965,False
1980-12-31,1893.24,2780.6435342864024,False
1981-12-31,1558.9,2767.881269956582,False
1982-12-31,1635.0,2774.5581812607697,False
1983-12-31,1435.4,2766.013619002669,False
1984-12-31,1111.43,2767.970554197644,False
1985-12-31,1159.12,2744.278096364429,False
1986-12-31,1570.7,2756.4066726747683,True
1987-12-31,1190.4,2747.10770986724,True
1988-12-31,1341.61,2736.5245963485527,True
1989-12-31,1333.8,2745.4015111925796,True
1990-12-31,1497.55,2743.3023404262985,True
1991-12-31,1499.36,2754.319641017473,True
1992-12-31,1302.5,2750.386913537701,True
1993-12-31,1571.7,2754.3382031827587,True
1994-12-31,1808.88,2767.3556192620563,True
1995-12-31,1274.6,2768.5503680996994,True
1996-12-31,1490.1,2752.7091805378623,True
1997-12-31,1928.4,2782.960890245203,True
1998-12-31,1503.7,2772.149757448453,True
1999-12-31,1579.7,2763.746936492466,True
2000-12-31,1645.7,2771.072474571286,True
2001-12-31,1498.7,2764.823786639959,True
2002-12-31,1109.36,2754.662478147473,True
2003-12-31,1294.1242724995182,2743.6102684025896,True
2004-12-31,1198.1,2751.27881628703,True
2005-12-31,1486.9,2747.025757620345,True
2006-12-31,1639.5,2770.8942398322133,True
2007-12-31,1546.741424166506,2759.531861604341,True
2008-12-31,1624.2899691655423,2772.2234452771895,False
2009-12-31,1234.0,2754.2650096170087,False
2010-12-31,1630.8,2753.7814406331477,False
2011-12-31,1533.2,2761.7717763926407,False
2012-12-31,1489.4,2742.845246192352,False
2013-12-31,1689.5656966660242,2742.674002862441,False
2014-12-31,1732.5268741568702,2738.0992328649945,False
2015-12-31,1202.6,2718.9469414521986,False
2016-12-31,1588.1268741568704,2692.020500778745,False
2017-12-31,1406.0,2702.136427470135,False
